iter	Passed	Remaining
0	157	157561
1	161	80595
2	164	54753
3	167	41828
4	171	34088
5	174	28932
6	177	25222
7	180	22434
8	184	20263
9	187	18539
10	189	17019
11	192	15839
12	195	14849
13	198	13993
14	201	13251
15	204	12597
16	207	12022
17	210	11496
18	213	11019
19	216	10604
20	219	10216
21	222	9871
22	224	9551
23	227	9265
24	230	9000
25	233	8753
26	236	8531
27	239	8316
28	242	8118
29	245	7929
30	248	7757
31	251	7594
32	254	7444
33	257	7304
34	259	7167
35	263	7044
36	265	6915
37	268	6798
38	271	6688
39	274	6581
40	277	6480
41	279	6382
42	282	6292
43	285	6199
44	288	6117
45	291	6035
46	293	5959
47	297	5892
48	299	5820
49	302	5754
50	305	5686
51	308	5626
52	311	5568
53	314	5508
54	317	5454
55	320	5397
56	323	5347
57	326	5295
58	329	5247
59	331	5198
60	334	5152
61	337	5107
62	340	5064
63	343	5020
64	346	4978
65	348	4938
66	351	4899
67	354	4863
68	357	4828
69	360	4791
70	363	4757
71	366	4721
72	369	4690
73	372	4658
74	375	4626
75	378	4597
76	381	4567
77	384	4539
78	386	4510
79	389	4483
80	392	4457
81	395	4430
82	398	4404
83	401	4377
84	404	4351
85	407	4325
86	410	4303
87	412	4279
88	415	4256
89	418	4235
90	421	4211
91	424	4190
92	427	4168
93	430	4148
94	433	4127
95	436	4106
96	439	4087
97	441	4067
98	445	4052
99	448	4032
100	451	4014
101	453	3995
102	456	3977
103	460	3965
104	463	3947
105	466	3931
106	468	3913
107	472	3898
108	475	3883
109	477	3866
110	481	3853
111	484	3838
112	487	3822
113	489	3807
114	492	3793
115	495	3778
116	498	3763
117	501	3748
118	504	3735
119	507	3722
120	510	3707
121	513	3693
122	516	3679
123	518	3666
124	521	3652
125	524	3638
126	527	3626
127	530	3612
128	533	3602
129	536	3590
130	539	3577
131	542	3565
132	545	3552
133	548	3541
134	551	3532
135	554	3521
136	557	3508
137	560	3498
138	562	3486
139	566	3477
140	569	3467
141	572	3460
142	575	3451
143	579	3444
144	582	3435
145	586	3429
146	589	3420
147	592	3410
148	595	3402
149	599	3396
150	602	3387
151	605	3377
152	608	3368
153	611	3359
154	614	3350
155	617	3340
156	620	3333
157	623	3323
158	627	3317
159	630	3308
160	633	3300
161	636	3290
162	639	3283
163	642	3274
164	645	3265
165	648	3258
166	651	3249
167	654	3241
168	657	3231
169	661	3227
170	663	3218
171	666	3210
172	669	3201
173	673	3195
174	676	3187
175	679	3179
176	681	3170
177	684	3161
178	687	3154
179	690	3146
180	693	3139
181	696	3130
182	699	3123
183	702	3116
184	705	3109
185	708	3101
186	711	3093
187	714	3085
188	717	3078
189	720	3071
190	723	3063
191	726	3056
192	729	3049
193	732	3044
194	735	3036
195	738	3029
196	741	3023
197	744	3015
198	747	3008
199	750	3001
200	753	2994
201	756	2986
202	758	2979
203	761	2971
204	764	2965
205	767	2958
206	770	2952
207	773	2944
208	776	2937
209	779	2930
210	782	2924
211	784	2917
212	787	2910
213	790	2903
214	793	2897
215	796	2890
216	799	2884
217	802	2877
218	804	2870
219	807	2864
220	810	2858
221	813	2852
222	816	2846
223	819	2839
224	822	2834
225	825	2828
226	828	2821
227	831	2815
228	834	2808
229	837	2802
230	840	2796
231	843	2791
232	846	2785
233	849	2780
234	852	2776
235	856	2771
236	859	2765
237	862	2761
238	865	2757
239	869	2752
240	872	2746
241	875	2741
242	878	2735
243	881	2730
244	884	2725
245	887	2720
246	890	2715
247	893	2710
248	897	2705
249	900	2700
250	903	2695
251	906	2690
252	909	2685
253	912	2679
254	915	2674
255	918	2668
256	921	2663
257	924	2657
258	927	2652
259	930	2647
260	932	2641
261	936	2636
262	938	2631
263	941	2625
264	944	2620
265	947	2615
266	950	2609
267	953	2604
268	956	2598
269	959	2593
270	962	2588
271	964	2582
272	967	2577
273	970	2571
274	973	2567
275	976	2562
276	979	2556
277	982	2551
278	985	2547
279	988	2542
280	991	2537
281	994	2532
282	997	2527
283	1000	2522
284	1003	2517
285	1006	2512
286	1009	2507
287	1012	2502
288	1014	2496
289	1017	2491
290	1020	2487
291	1024	2484
292	1027	2479
293	1030	2474
294	1033	2469
295	1036	2465
296	1039	2459
297	1042	2455
298	1045	2450
299	1047	2444
300	1050	2439
301	1053	2435
302	1056	2430
303	1059	2425
304	1062	2420
305	1065	2416
306	1068	2411
307	1071	2407
308	1074	2402
309	1077	2397
310	1079	2392
311	1082	2387
312	1085	2383
313	1088	2378
314	1091	2373
315	1094	2370
316	1098	2366
317	1101	2361
318	1104	2357
319	1107	2352
320	1110	2348
321	1112	2343
322	1115	2338
323	1118	2333
324	1121	2329
325	1124	2324
326	1127	2320
327	1130	2315
328	1133	2311
329	1136	2306
330	1139	2302
331	1141	2297
332	1145	2293
333	1148	2289
334	1150	2284
335	1153	2280
336	1156	2275
337	1159	2271
338	1162	2266
339	1165	2262
340	1168	2258
341	1171	2253
342	1174	2249
343	1176	2244
344	1179	2239
345	1182	2235
346	1185	2231
347	1188	2227
348	1191	2223
349	1194	2218
350	1197	2214
351	1200	2209
352	1203	2205
353	1206	2201
354	1208	2196
355	1211	2192
356	1214	2187
357	1217	2183
358	1220	2179
359	1223	2174
360	1226	2170
361	1229	2166
362	1232	2162
363	1234	2157
364	1238	2153
365	1240	2149
366	1243	2145
367	1246	2141
368	1249	2136
369	1252	2132
370	1255	2128
371	1258	2124
372	1261	2120
373	1264	2115
374	1267	2111
375	1270	2107
376	1272	2103
377	1275	2099
378	1278	2095
379	1281	2090
380	1284	2086
381	1287	2082
382	1290	2078
383	1293	2074
384	1296	2070
385	1298	2066
386	1301	2062
387	1304	2057
388	1307	2054
389	1310	2050
390	1313	2046
391	1316	2042
392	1319	2038
393	1322	2034
394	1325	2030
395	1328	2026
396	1331	2022
397	1334	2018
398	1337	2014
399	1340	2010
400	1343	2006
401	1346	2002
402	1349	1998
403	1352	1994
404	1355	1990
405	1357	1986
406	1361	1982
407	1363	1978
408	1366	1974
409	1369	1970
410	1372	1966
411	1375	1962
412	1378	1958
413	1381	1954
414	1383	1950
415	1387	1947
416	1389	1943
417	1392	1939
418	1395	1935
419	1398	1931
420	1401	1927
421	1404	1923
422	1407	1919
423	1410	1915
424	1412	1911
425	1416	1907
426	1418	1903
427	1421	1900
428	1424	1896
429	1428	1893
430	1431	1889
431	1434	1886
432	1437	1882
433	1440	1878
434	1443	1874
435	1446	1870
436	1449	1867
437	1452	1863
438	1455	1859
439	1457	1855
440	1460	1851
441	1463	1847
442	1466	1843
443	1469	1840
444	1472	1836
445	1475	1833
446	1478	1829
447	1481	1825
448	1484	1821
449	1487	1817
450	1490	1814
451	1493	1810
452	1496	1806
453	1499	1803
454	1502	1799
455	1505	1795
456	1508	1792
457	1511	1788
458	1514	1784
459	1517	1781
460	1520	1777
461	1523	1774
462	1526	1770
463	1529	1766
464	1532	1763
465	1535	1759
466	1538	1756
467	1541	1752
468	1544	1748
469	1547	1745
470	1550	1741
471	1553	1737
472	1556	1734
473	1559	1730
474	1562	1726
475	1565	1723
476	1568	1719
477	1571	1715
478	1573	1711
479	1576	1708
480	1579	1704
481	1582	1700
482	1585	1697
483	1588	1693
484	1591	1689
485	1594	1686
486	1597	1682
487	1600	1679
488	1603	1675
489	1606	1671
490	1609	1668
491	1612	1664
492	1615	1661
493	1618	1657
494	1621	1653
495	1624	1650
496	1627	1646
497	1630	1643
498	1633	1639
499	1636	1636
500	1639	1632
501	1642	1629
502	1645	1625
503	1647	1621
504	1651	1618
505	1654	1615
506	1657	1611
507	1660	1608
508	1663	1604
509	1666	1601
510	1670	1598
511	1673	1594
512	1676	1591
513	1679	1587
514	1682	1584
515	1685	1580
516	1688	1577
517	1691	1573
518	1694	1570
519	1697	1566
520	1700	1563
521	1702	1559
522	1705	1555
523	1708	1552
524	1712	1549
525	1715	1545
526	1718	1542
527	1721	1538
528	1724	1535
529	1727	1531
530	1730	1528
531	1733	1524
532	1736	1521
533	1739	1517
534	1742	1514
535	1745	1510
536	1748	1507
537	1751	1504
538	1754	1500
539	1757	1497
540	1760	1493
541	1763	1490
542	1766	1486
543	1769	1483
544	1772	1479
545	1775	1476
546	1778	1472
547	1781	1469
548	1784	1465
549	1787	1462
550	1790	1459
551	1793	1455
552	1796	1452
553	1799	1448
554	1802	1445
555	1805	1441
556	1808	1438
557	1811	1434
558	1814	1431
559	1817	1428
560	1820	1424
561	1824	1421
562	1827	1418
563	1830	1414
564	1833	1411
565	1836	1408
566	1839	1405
567	1842	1401
568	1846	1398
569	1849	1394
570	1852	1391
571	1855	1388
572	1858	1384
573	1861	1381
574	1864	1378
575	1867	1374
576	1870	1371
577	1873	1367
578	1876	1364
579	1879	1360
580	1882	1357
581	1885	1354
582	1888	1350
583	1892	1347
584	1894	1344
585	1897	1340
586	1900	1337
587	1903	1333
588	1906	1330
589	1909	1327
590	1913	1324
591	1916	1320
592	1919	1317
593	1922	1313
594	1924	1310
595	1927	1306
596	1930	1303
597	1933	1300
598	1936	1296
599	1940	1293
600	1943	1290
601	1946	1286
602	1949	1283
603	1952	1280
604	1955	1276
605	1958	1273
606	1961	1270
607	1964	1266
608	1967	1263
609	1970	1259
610	1973	1256
611	1976	1253
612	1979	1249
613	1982	1246
614	1985	1242
615	1988	1239
616	1991	1236
617	1994	1233
618	1997	1229
619	2000	1226
620	2003	1222
621	2007	1219
622	2010	1216
623	2013	1213
624	2016	1209
625	2019	1206
626	2022	1203
627	2025	1199
628	2028	1196
629	2031	1192
630	2035	1190
631	2037	1186
632	2041	1183
633	2044	1180
634	2047	1176
635	2050	1173
636	2053	1169
637	2056	1166
638	2059	1163
639	2062	1160
640	2065	1156
641	2068	1153
642	2071	1149
643	2074	1146
644	2077	1143
645	2080	1140
646	2083	1136
647	2086	1133
648	2089	1130
649	2092	1126
650	2095	1123
651	2098	1120
652	2101	1116
653	2104	1113
654	2107	1109
655	2110	1106
656	2113	1103
657	2116	1100
658	2119	1096
659	2122	1093
660	2125	1090
661	2128	1086
662	2132	1083
663	2135	1080
664	2138	1077
665	2141	1073
666	2144	1070
667	2147	1067
668	2150	1063
669	2153	1060
670	2156	1057
671	2159	1053
672	2162	1050
673	2165	1047
674	2168	1044
675	2171	1040
676	2174	1037
677	2177	1034
678	2180	1030
679	2182	1027
680	2185	1023
681	2189	1020
682	2192	1017
683	2195	1014
684	2198	1010
685	2201	1007
686	2204	1004
687	2207	1000
688	2210	997
689	2212	994
690	2215	990
691	2218	987
692	2221	984
693	2224	980
694	2227	977
695	2230	974
696	2233	970
697	2236	967
698	2239	964
699	2242	960
700	2245	957
701	2248	954
